Shipment_ID,Order_ID,Customer_ID,Customer_Name,Email,Phone,City,Country,Region,Postal_Code,Product_ID,Product_Name,Category,Weight_kg,Quantity,Unit_Price,Total_Price,Shipment_Date,Delivery_Date,Delay_Days,Status,Delivery_Mode,Vehicle_ID,Driver_Name,Transport_Type,Route_ID,Fuel_Cost,Distance_km,Delivery_Center,Warehouse_Name,Manager_Name,Order_Priority,Payment_Mode,Insurance,Return_Status,Remarks,Revenue,Delivery_Duration,Fuel_Efficiency,Profit,Delay_Flag,Urgency_Level,Payment_Mode_Encoded,Order_Priority_Encoded
S470009,O66124,C1239,Amit Kumar,Amit@Gmail.Com,9.17E+11,Delhi,Uk,West,560001,P3748,Charger,Furniture,11.23519699,3,4221.339974,12926.827,01-04-2022,10-03-2020,8,Delayed,Air,V224,Mrs. Patel,Bike,R252,8641.039995,1267.012215,Warehouse A,South Hub,Mr. Patel,High,Online,No,Not Returned,Delayed Delivery,12664.01992,-752 days,0.146627283,4285.787005,Yes,Urgent,4,3
S372486,O40352,C6710,Fatima Noor,,9.19E+11,Bangalore,Unknown,South,400001,P9767,Mobile,Electronics,76.19811234,9,2127.286521,177191.3348,04-03-2022,24-10-2024,1,Delayed,Ship,V950,Mr. Lee,Truck,R538,7342.820681,1384.774596,Warehouse B,South Hub,Ms. Verma,Low,Unknown,No,Not Returned,Handle With Care,19145.57869,965 days,0.188588916,169848.5141,Yes,Normal,6,1
S734726,O77929,C3183,Michael Brown,Amit@Gmail.Com,9.18E+11,Chennai,Uk,Unknown,400001,P3552,Headphones,Food,43.04033133,10,2473.738849,18639.48465,17-01-2023,27-07-2023,4,In Transit,Road,V529,Mr. Rao,Cargo,R213,352.5252197,1009.235384,Unknown,North Hub,Mr. Khan,High,Card,Unknown,Pending,No Remarks,24737.38849,191 days,2.862874278,18286.95943,Yes,Urgent,0,3
S427342,O36381,C5569,John Doe,John@Example.Com,9.17E+11,Unknown,India,South,110001,P5921,Tablet,Electronics,11.23519699,11,4624.872973,90097.7648,02-06-2022,19-06-2025,11,Delayed,Road,V711,Mr. Lee,Bike,R650,6853.332809,738.6984002,Warehouse A,Central,Mr. Patel,Low,Debit,Yes,Pending,No Remarks,50873.6027,1113 days,0.10778674,83244.43199,Yes,Normal,3,1
S694897,O55928,C7775,Michael Brown,,9.19E+11,Mumbai,Usa,South,400001,P2639,Mobile,Unknown,80.31859959,13,3619.054145,148375.786,21-09-2022,30-08-2023,9,Delivered,Unknown,V371,Mr. Lee,Cargo,R270,8607.492526,490.7450037,Warehouse B,Central,Mr. Patel,Medium,Debit,No,Unknown,Handle With Care,47047.70389,343 days,0.057013701,139768.2935,Yes,Not Urgent,3,4
S789076,O58826,C3367,Li Wei,Amit@Gmail.Com,9.17E+11,Unknown,India,North,400001,P4437,Charger,Furniture,92.22648638,16,4386.362714,97446.1529,03-06-2020,26-12-2020,12,Delivered,Air,V468,Mr. Lee,Bike,R525,2530.987075,1267.012215,Warehouse A,North Hub,Ms. Verma,Medium,Debit,Yes,Pending,Check Packaging,70181.80342,206 days,0.500600034,94915.16583,Yes,Not Urgent,3,4
S416457,O85033,C8390,Michael Brown,,9.18E+11,Mumbai,Usa,North,600001,P9411,Charger,Accessories,45.87896343,13,405.8528003,47175.32971,06-02-2024,28-12-2024,8,Delivered,Ship,V193,Mr. Lee,Bike,R687,8813.090633,632.8260178,Unknown,Unknown,Mr. Patel,Unknown,Cash,Unknown,Not Returned,Check Packaging,5276.086404,326 days,0.071805232,38362.23908,Yes,Na,1,2
S259663,O39818,C6429,Not Provided,,9.18E+11,Delhi,Uk,North,600001,P6071,Charger,Clothing,5.000115247,10,2473.738849,169264.5848,01-08-2025,04-10-2024,8,Delayed,Unknown,V627,Mrs. Patel,Truck,R427,8565.430964,453.8148522,Unknown,Central,Mr. Patel,High,Card,Unknown,Unknown,No Remarks,24737.38849,-301 days,0.052982139,160699.1538,Yes,Urgent,0,3
S777803,O75666,C9408,Not Provided,,9.19E+11,Delhi,Usa,South,0,P3517,Charger,Accessories,73.33339721,17,3232.275874,52705.98888,09-10-2020,21-04-2021,3,In Transit,Air,V842,Mr. Lee,Truck,R846,9138.029149,787.0087478,Warehouse B,Central,Mr. Patel,Low,Upi,Unknown,Unknown,Check Packaging,54948.68986,194 days,0.086124561,43567.95973,Yes,Normal,5,1
S687190,O54768,C1407,Amit Kumar,John@Example.Com,9.17E+11,Chennai,India,South,400001,P2031,Tablet,Food,45.87896343,7,2036.672621,45101.87522,02-01-2021,24-04-2023,12,Delayed,Road,V124,Unknown,Cargo,R373,7342.820681,632.8260178,Unknown,North Hub,Mr. Khan,Low,Online,No,Unknown,No Remarks,14256.70835,842 days,0.08618296,37759.05454,Yes,Normal,4,1
S748996,O58291,C9627,Li Wei,John@Example.Com,9.18E+11,Mumbai,Uk,East,400001,P4406,Headphones,Unknown,45.87896343,10,1261.274133,196124.1791,14-11-2023,30-04-2023,8,Delayed,Unknown,V132,Unknown,Truck,R668,9768.548903,490.7450037,Warehouse A,North Hub,Mr. Patel,Low,Cash,No,Pending,Handle With Care,12612.74133,-198 days,0.050237247,186355.6302,Yes,Normal,1,1
S691051,O13919,C6959,Jane Smith,,9.18E+11,Delhi,Unknown,East,560001,P5318,Headphones,Furniture,20.36754132,17,2501.315204,33111.50561,01-08-2020,28-10-2025,5,Cancelled,Rail,V682,Mr. Rao,Van,R216,7089.920759,1070.479319,Warehouse A,North Hub,Mr. Khan,Medium,Online,Unknown,Not Returned,Handle With Care,42522.35847,1914 days,0.150986077,26021.58485,Yes,Not Urgent,4,4
S794002,O70026,C8875,Li Wei,John@Example.Com,9.18E+11,Unknown,Unknown,Unknown,600001,P2346,Laptop,Accessories,5.000115247,13,1984.835453,126046.9754,17-02-2022,23-08-2024,1,Delayed,Unknown,V920,Ms. Sharma,Cargo,R282,4344.411364,365.2178462,Unknown,South Hub,Ms. Verma,High,Online,Yes,Not Returned,No Remarks,25802.86089,918 days,0.084066129,121702.564,Yes,Urgent,4,3
S617814,O77010,C1177,John Doe,Amit@Gmail.Com,9.19E+11,Delhi,India,Unknown,400001,P3987,Charger,Furniture,88.77766789,3,4539.137139,101699.5687,05-06-2022,08-05-2024,12,Cancelled,Unknown,V288,Mrs. Patel,Cargo,R474,7015.422873,151.0244466,Unknown,Central,Unknown,Unknown,Cash,Yes,Unknown,Handle With Care,13617.41142,703 days,0.02152749,94684.14583,Yes,Na,1,2
S680705,O29901,C4545,Amit Kumar,John@Example.Com,9.17E+11,Delhi,Unknown,North,110001,P1715,Mobile,Unknown,36.95300341,3,247.9313375,140528.5831,05-01-2020,20-04-2024,5,Delivered,Ship,V871,Mr. Rao,Cargo,R646,8231.461695,738.6984002,Warehouse B,Unknown,Ms. Verma,Medium,Credit,Yes,Unknown,Handle With Care,743.7940125,1567 days,0.089740854,132297.1214,Yes,Not Urgent,2,4
S308976,O16003,C2855,Fatima Noor,John@Example.Com,9.18E+11,Bangalore,India,East,560001,P1109,Charger,Accessories,16.02145477,19,3628.704096,172921.7965,22-01-2021,26-05-2025,2,In Transit,Rail,V974,Mr. Rao,Cargo,R487,5630.916919,1229.741794,Warehouse B,Central,Mr. Khan,Low,Upi,Yes,Unknown,Handle With Care,68945.37782,1585 days,0.218391039,167290.8796,Yes,Normal,5,1
S196122,O90267,C7159,Not Provided,Amit@Gmail.Com,9.19E+11,Unknown,India,West,110001,P6223,Laptop,Unknown,5.000115247,4,1206.769041,13794.51044,10-04-2022,17-01-2023,5,Unknown,Ship,V277,Ms. Sharma,Cargo,R881,2892.410615,1147.606724,Hub C,South Hub,Mr. Patel,High,Online,No,Returned,Handle With Care,4827.076164,282 days,0.396764802,10902.09983,Yes,Urgent,4,3
S813801,O57535,C8550,Not Provided,,9.18E+11,Chennai,India,South,400001,P9123,Tablet,Unknown,94.91411096,16,4217.694349,65957.74185,16-03-2020,21-11-2023,0,Delayed,Rail,V383,Mr. Lee,Truck,R123,1320.681108,1335.386338,Warehouse A,Unknown,Ms. Verma,Low,Upi,Yes,Unknown,No Remarks,67483.10958,1345 days,1.01113458,64637.06074,No,Normal,5,1
S348688,O42617,C3793,Michael Brown,Amit@Gmail.Com,9.16E+11,Chennai,Uk,East,560001,P7552,Headphones,Accessories,61.37936302,17,2445.113684,177191.3348,12-03-2021,19-12-2021,1,Cancelled,Road,V189,Mrs. Patel,Bike,R922,7561.095208,959.3305987,Unknown,North Hub,Unknown,High,Cash,Yes,Returned,No Remarks,41566.93263,282 days,0.126877201,169630.2396,Yes,Urgent,1,3
S494284,O93339,C3213,Amit Kumar,,9.18E+11,Bangalore,India,Unknown,600001,P1592,Unknown,Unknown,92.22648638,6,2421.167471,65957.74185,04-10-2023,26-06-2020,0,Cancelled,Rail,V433,Ms. Sharma,Cargo,R104,6730.004134,632.8260178,Warehouse B,Unknown,Unknown,Low,Card,Yes,Returned,Check Packaging,14527.00483,-1195 days,0.094030554,59227.73772,No,Normal,0,1
S626958,O15251,C7485,John Doe,John@Example.Com,9.2E+11,Chennai,India,East,560001,P1301,Tablet,Furniture,76.19811234,2,2473.738849,21598.49776,22-09-2023,27-11-2022,0,Delayed,Air,V761,Ms. Sharma,Truck,R335,7652.798286,1248.440028,Warehouse A,South Hub,Mr. Khan,Unknown,Unknown,Yes,Not Returned,No Remarks,4947.477698,-299 days,0.163135102,13945.69947,No,Na,6,2
S499704,O42291,C4732,Not Provided,Amit@Gmail.Com,9.2E+11,Unknown,India,South,400001,P2896,Laptop,Food,54.89767279,11,286.031564,196302.5875,10-08-2024,16-03-2023,12,Delayed,Rail,V497,Ms. Sharma,Bike,R740,8565.430964,1142.281819,Warehouse A,Central,Mr. Khan,Medium,Unknown,Unknown,Unknown,Delayed Delivery,3146.347204,-513 days,0.133359527,187737.1565,Yes,Not Urgent,6,4
S826156,O54133,C7655,Li Wei,,9.18E+11,Chennai,India,North,110001,P8744,Charger,Furniture,5.000115247,13,2365.351775,194596.3122,22-12-2022,25-04-2024,0,Delayed,Ship,V934,Ms. Sharma,Cargo,R537,7402.625863,1267.012215,Unknown,Unknown,Ms. Verma,Unknown,Cash,No,Not Returned,Handle With Care,30749.57308,490 days,0.171157132,187193.6863,No,Na,1,2
S505936,O63714,C3014,Not Provided,,9.17E+11,Chennai,Usa,Unknown,600001,P1494,Laptop,Accessories,59.99104789,7,4221.339974,144272.0613,02-01-2024,04-06-2022,4,Pending,Road,V811,Unknown,Truck,R564,8337.453157,149.423824,Unknown,Central,Mr. Patel,Medium,Card,No,Not Returned,No Remarks,29549.37982,-577 days,0.017921999,135934.6081,Yes,Not Urgent,0,4
S565197,O84637,C6341,Amit Kumar,,9.17E+11,Unknown,Uk,West,560001,P9201,Unknown,Food,54.89767279,12,4140.753898,192457.5095,01-04-2020,12-11-2023,3,Unknown,Rail,V442,Mr. Rao,Van,R369,8813.090633,1384.774596,Unknown,Unknown,Unknown,High,Debit,Unknown,Not Returned,Check Packaging,49689.04678,1320 days,0.157127012,183644.4189,Yes,Urgent,3,3
S236164,O12380,C3428,John Doe,John@Example.Com,9.18E+11,Delhi,India,East,400001,P8150,Mobile,Electronics,80.93553614,10,843.7059873,188993.6872,03-04-2021,09-01-2020,9,Delivered,Unknown,V201,Mr. Lee,Bike,R368,8607.492526,65.59446973,Unknown,North Hub,Unknown,Low,Online,Unknown,Unknown,Handle With Care,8437.059873,-450 days,0.007620625,180386.1947,Yes,Normal,4,1
S410891,O73493,C6157,Jane Smith,John@Example.Com,9.17E+11,Bangalore,Unknown,North,110001,P4707,Tablet,Unknown,93.98014469,4,833.9464516,141034.9164,01-10-2023,23-06-2022,10,Unknown,Rail,V608,Unknown,Truck,R349,4839.54642,1045.618889,Unknown,South Hub,Ms. Verma,High,Cash,Yes,Returned,Handle With Care,3335.785806,-465 days,0.216057208,136195.37,Yes,Urgent,1,3
S202558,O70490,C5978,Michael Brown,John@Example.Com,9.17E+11,Unknown,Uk,West,400001,P2079,Headphones,Electronics,18.89301832,4,4323.352398,154723.2036,01-05-2023,02-04-2024,12,In Transit,Unknown,V484,Mrs. Patel,Van,R473,4988.932744,1463.66029,Warehouse B,Central,Ms. Verma,Unknown,Card,No,Not Returned,Handle With Care,17293.40959,337 days,0.293381444,149734.2709,Yes,Na,0,2
S679479,O73000,C5110,Amit Kumar,John@Example.Com,9.18E+11,Unknown,Usa,Unknown,0,P2687,Headphones,Electronics,59.4452496,18,911.0416179,147017.1363,07-08-2023,10-04-2025,9,In Transit,Rail,V200,Unknown,Bike,R205,3087.753105,1053.600666,Warehouse A,Unknown,Mr. Khan,Low,Card,Unknown,Unknown,Handle With Care,16398.74912,612 days,0.341219207,143929.3832,Yes,Normal,0,1
S727271,O84906,C2581,Amit Kumar,,9.19E+11,Chennai,Uk,South,560001,P3385,Tablet,Unknown,59.4452496,11,2473.738849,101699.5687,04-08-2024,24-01-2024,9,Delayed,Air,V585,Mr. Lee,Bike,R594,4600.327884,897.1221866,Warehouse A,Central,Mr. Patel,Medium,Credit,Unknown,Not Returned,Check Packaging,27211.12734,-193 days,0.195012662,97099.24082,Yes,Not Urgent,2,4
